Date : 2023-06-09 13:07:10
Directory : c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan
Total : 167 files,  36818 codes, 1289 comments, 2337 blanks, all 40444 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |        150 |     24,769 |        426 |      2,244 |     27,439 |
| JSON               |          2 |     10,532 |          0 |          2 |     10,534 |
| JavaScript         |         11 |      1,348 |        828 |         58 |      2,234 |
| CSS                |          1 |        122 |         21 |         24 |        167 |
| HTML               |          1 |         20 |          2 |          3 |         25 |
| Markdown           |          1 |         19 |          0 |          6 |         25 |
| JSON with Comments |          1 |          8 |         12 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        167 |     36,818 |      1,289 |      2,337 |     40,444 |
| . (Files)                                                                                                       |          7 |     10,587 |         14 |         12 |     10,613 |
| public                                                                                                          |          2 |        142 |         23 |         27 |        192 |
| src                                                                                                             |        158 |     26,089 |      1,252 |      2,298 |     29,639 |
| src (Files)                                                                                                     |          2 |         97 |         13 |         30 |        140 |
| src\components                                                                                                  |         79 |     12,806 |        267 |      1,067 |     14,140 |
| src\components (Files)                                                                                          |         20 |      3,868 |         31 |        362 |      4,261 |
| src\components\Book                                                                                             |          3 |        315 |          0 |         17 |        332 |
| src\components\Editor                                                                                           |          2 |        210 |          0 |          9 |        219 |
| src\components\Video                                                                                            |         18 |      2,200 |         15 |        136 |      2,351 |
| src\components\group                                                                                            |          5 |      1,184 |         47 |        128 |      1,359 |
| src\components\post                                                                                             |         20 |      3,538 |        128 |        294 |      3,960 |
| src\components\post (Files)                                                                                     |         10 |      2,118 |        102 |        193 |      2,413 |
| src\components\post\button                                                                                      |         10 |      1,420 |         26 |        101 |      1,547 |
| src\components\review                                                                                           |          5 |        573 |         16 |         36 |        625 |
| src\components\topic                                                                                            |          6 |        918 |         30 |         85 |      1,033 |
| src\router                                                                                                      |          1 |        317 |         64 |         15 |        396 |
| src\store                                                                                                       |          6 |        962 |        749 |         21 |      1,732 |
| src\views                                                                                                       |         70 |     11,907 |        159 |      1,165 |     13,231 |
| src\views (Files)                                                                                               |         28 |      4,834 |         23 |        519 |      5,376 |
| src\views\Book                                                                                                  |          6 |        993 |         19 |        102 |      1,114 |
| src\views\Group                                                                                                 |          6 |      1,084 |         37 |        109 |      1,230 |
| src\views\Post                                                                                                  |          1 |        216 |         14 |         17 |        247 |
| src\views\Review                                                                                                |          2 |        751 |          2 |         36 |        789 |
| src\views\Search                                                                                                |          7 |        437 |          8 |         39 |        484 |
| src\views\Topic                                                                                                 |          7 |        991 |         38 |        107 |      1,136 |
| src\views\User                                                                                                  |          7 |      1,281 |          0 |         92 |      1,373 |
| src\views\Video                                                                                                 |          6 |      1,320 |         18 |        144 |      1,482 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                        | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\.eslintrc.js                                        | JavaScript         |         18 |          1 |          1 |         20 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\README.md                                           | Markdown           |         19 |          0 |          6 |         25 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\babel.config.js                                     | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\jsconfig.json                                       | JSON with Comments |          8 |         12 |          0 |         20 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\package-lock.json                                   | JSON               |     10,466 |          0 |          1 |     10,467 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\package.json                                        | JSON               |         66 |          0 |          1 |         67 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\public\index.html                                   | HTML               |         20 |          2 |          3 |         25 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\public\reset.css                                    | CSS                |        122 |         21 |         24 |        167 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\App.vue                                         | vue                |         56 |          0 |         12 |         68 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\BookCard.vue                         | vue                |        755 |          3 |         59 |        817 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Book\BookRow.vue                     | vue                |          8 |          0 |          5 |         13 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Book\Booklist.vue                    | vue                |          8 |          0 |          5 |         13 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Book\RankBoardSingle.vue             | vue                |        299 |          0 |          7 |        306 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\CollectionCard.vue                   | vue                |        123 |          0 |         11 |        134 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedGroupCard.vue                | vue                |         98 |          0 |         11 |        109 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedMessageCard.vue              | vue                |        159 |         14 |         15 |        188 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedPostCard.vue                 | vue                |        121 |          0 |         16 |        137 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedWorksCard.vue                | vue                |         81 |          0 |         11 |         92 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Editor\Editor.vue                    | vue                |         88 |          0 |          3 |         91 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Editor\VideoEditor.vue               | vue                |        122 |          0 |          6 |        128 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\HelloWorld.vue                       | vue                |         57 |          1 |          3 |         61 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\LoadingEffect.vue                    | vue                |         94 |          0 |         15 |        109 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\ManageInfo.vue                       | vue                |        196 |          0 |         17 |        213 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\MiniCard.vue                         | vue                |         66 |          0 |          7 |         73 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBar.vue                           | vue                |        384 |          4 |         36 |        424 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBarBackGround.vue                 | vue                |         21 |          0 |          4 |         25 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBarCartoon.vue                    | vue                |         39 |          0 |          2 |         41 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavigationBar.vue                    | vue                |        147 |          6 |         15 |        168 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Player.vue                           | vue                |         41 |          0 |          1 |         42 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\ScrollingScreenCard.vue              | vue                |         50 |          0 |          5 |         55 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\SubscribeCard.vue                    | vue                |        190 |          0 |         29 |        219 |
